,ID,Title
336,116737,Add sensors for Unifi latency
337,121378,Add sensor platform to laundrify integration
338,24953,Add Support for VeSync Devices - Outlets and Switches
339,31088,Add integration for Schluter
340,47944,Percentage and preset mode support for MQTT fan
341,62416,Refactor Launch Library to use config flow
342,70201,Add SwitchBee Integration
343,72558,Add config flow to Workday
344,89155,Add config flow to Velux
345,48003,Implement SMA config flow
346,54738,Add P1 Monitor integration
347,58665,Update Apple TV integration to support tvOS 15
348,106029,Implement TechnoVE integration
349,13340,Implement thermostat support for Alexa
350,38331,Add syncthing integration
351,39624,Add Tasmota integration
352,44320,Refactor flux led and add config_flow
353,47920,Going async with denonavr
354,103221,Fix integration failed when freebox is configured in bridge mode
355,80061,Add Rainforest RAVEn integration
356,108949,Add JVC Projector Sensors
357,115276,Add strict typing to ring integration
358,120135,Add config flow to pyLoad integration
359,9336,Added satel_integra alarm panel and binary sensor platform
360,12181,Move HassIntent handler code into helpers/intent
361,33642,Add Modbus cover
362,43404,New integration for Kostal Plenticore solar inverters
363,44031,Add OAuth to Neato
364,49656,Improve typing for synology_dsm
365,66279,Mqtt improve test coverage
366,67666,Add Airzone HVAC Zoning Systems
367,95434,Add Matter Climate support
368,25533,Add Plugwise component
369,29880,Add vera config entries support
370,32704,Add config flow to Synology DSM
371,44090,Migrate LCN configuration to ConfigEntry (Part 1)
372,56620,Add solax config flow
373,94835,Fix ruckus_unleashed for python 3.11
374,121418,Add Israel rail integration
375,4081,Update the icloud device_tracker
376,14055,Add Hydrawise component
377,26659,Add basic support for IKEA Fyrtur blinds
378,28542,Add WLED integration
379,32361,Add Atag One thermostat integration
380,32092,Add pvpc electricity prices integration
381,42857,Optimize api calls between envoy_reader and Home Assistant
382,60914,Add homekit_controller support for ecobee vendor extensions
383,102536,Add coordinator to Blink
384,80797,Add dynamic generation of device triggers from keypad buttons
385,91040,Add config flow to dwd_weather_warnings
386,98136,Add airtouch5
387,113940,Add LinkPlay integration
388,16300,Rewrite of upnp
389,20148,Add SmartThings component and switch platform
390,23839,Support multiple Elk instances
391,31134,Add Avri waste collection sensor
392,28641,Add support for Hisense AEH-W4A1 wifi module (AC remote control)
393,33551,Refactor Modbus switch to provide a base for other entities
394,64315,Add config flow for selecting precision of DS18B20 devices
395,78305,Shelly migrate to update entity
396,84097,Add support for multiple mbus devices in dsmr
397,100647,Add ecoforest integration
398,46673,Add zwave_js.set_config_parameter service
399,116303,Add flow and rain sensor support to Hydrawise
400,12761,Add initial support fo HomematicIP components
401,32926,Support openid connect like authentication providers
